Low & middle income,LMY,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.95954883
Lesotho,LSO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,50.992
Late-demographic dividend,LTE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.78003684
Lithuania,LTU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.9
Luxembourg,LUX,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.1
Latvia,LVA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.1
"Macao SAR, China",MAC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,82.349
St. Martin (French part),MAF,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.207
Morocco,MAR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,72.028
Monaco,MCO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,
Moldova,MDA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,65.921
Madagascar,MDG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.2
Maldives,MDV,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.21
Middle East & North Africa,MEA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.64244588
Mexico,MEX,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.829
Marshall Islands,MHL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,
Middle income,MIC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.91613665
North Macedonia,MKD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.6
Mali,MLI,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.14
Malta,MLT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.4
Myanmar,MMR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.407
Middle East & North Africa (excluding high income),MNA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.51384737
Montenegro,MNE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.5
Mongolia,MNG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,66.811
Northern Mariana Islands,MNP,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,
Mozambique,MOZ,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,57.721
Mauritania,MRT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.594
Mauritius,MUS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.27
Malawi,MWI,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.724
Malaysia,MYS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.293
North America,NAC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,76.58810631
Namibia,NAM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.931
New Caledonia,NCL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,76.367
Niger,NER,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,61.611
Nigeria,NGA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,52.331
Nicaragua,NIC,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.964
Netherlands,NLD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.3
Norway,NOR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,81.1
Nepal,NPL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.231
Nauru,NRU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,
New Zealand,NZL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.2
OECD members,OED,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.38303411
Oman,OMN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,76.534
Other small states,OSS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.04192934
Pakistan,PAK,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.222
Panama,PAN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.826
Peru,PER,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.8
Philippines,PHL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.815
Palau,PLW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,
Papua New Guinea,PNG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.869
Poland,POL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.7
Pre-demographic dividend,PRE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.69631994
Puerto Rico,PRI,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.475
"Korea, Dem. People's Rep.",PRK,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.307
Portugal,PRT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,78.3
Paraguay,PRY,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.946
West Bank and Gaza,PSE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,72.464
Pacific island small states,PSS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.45944103
Post-demographic dividend,PST,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,78.11465088
French Polynesia,PYF,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.474
Qatar,QAT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.028
Romania,ROU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.7
Russian Federation,RUS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.75
Rwanda,RWA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.013
South Asia,SAS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.70592846
Saudi Arabia,SAU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.921
Sudan,SDN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.208
Senegal,SEN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,65.78
Singapore,SGP,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,81.2
Solomon Islands,SLB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.786
Sierra Leone,SLE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.419
El Salvador,SLV,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.352
San Marino,SMR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,
Somalia,SOM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,54.283
